Designator,Mid X,Mid Y,Layer,Rotation
C_3V3,30.000000,-24.000000,Top,0.000000
C_BST1,22.000000,-36.000000,Top,0.000000
C_EN1,86.000000,-46.000000,Top,0.000000
C_IN1,30.000000,-12.000000,Top,0.000000
C_U1_DEC1,78.000000,-24.000000,Top,0.000000
C_U2_DEC1,58.000000,-8.000000,Top,0.000000
C_U3_DEC1,58.000000,-32.000000,Top,0.000000
C_U4_DEC1,24.000000,-8.000000,Top,0.000000
D1,30.000000,-48.000000,Top,0.000000
D2,74.000000,-20.000000,Top,0.000000
D3,78.000000,-40.000000,Top,0.000000
D4,86.000000,-15.000000,Top,0.000000
F1,16.000000,-50.000000,Top,0.000000
FB1,44.000000,-48.000000,Top,0.000000
J1,82.000000,-6.000000,Top,0.000000
L1,16.000000,-24.000000,Top,0.000000
Q1,10.000000,-44.000000,Top,0.000000
R_ARMSENSE_PD1,78.000000,-32.000000,Top,0.000000
R_BOOT1,81.000000,-44.000000,Top,0.000000
R_BUCK_EN1,20.000000,-40.000000,Top,0.000000
R_BUCK_RON1,25.000000,-40.000000,Top,0.000000
R_CC1,76.000000,-48.000000,Top,0.000000
R_CC2,81.000000,-48.000000,Top,0.000000
R_EN1,76.000000,-44.000000,Top,0.000000
R_FB_BOT1,15.000000,-40.000000,Top,0.000000
R_FB_TOP1,10.000000,-40.000000,Top,0.000000
R_LINA_SER1,66.000000,-20.000000,Top,0.000000
R_LINA_TXD_PU1,58.000000,-14.000000,Top,0.000000
R_LINB_SER1,68.000000,-32.000000,Top,0.000000
R_LINB_TXD_PU1,58.000000,-38.000000,Top,0.000000
R_LINEN_PD1,73.000000,-32.000000,Top,0.000000
R_PGOOD_PU1,30.000000,-40.000000,Top,0.000000
R_WAKE_A1,64.000000,-8.000000,Top,0.000000
R_WAKE_B1,70.000000,-8.000000,Top,0.000000
U1,90.000000,-32.000000,Top,0.000000
U2,48.000000,-8.000000,Top,0.000000
U3,48.000000,-32.000000,Top,0.000000
U4,16.000000,-12.000000,Top,0.000000
