"name","phase","tx_id_hex","tx_pid_hex","tx_data_hex","checksum","apg_exit","apg_status","observed","matched","observed_id_hex","observed_pid_hex","observed_data_hex","observed_data_len","observed_checksum_mode","observed_pid_valid","observed_rx_checksum","posted","serial_lines"
"model-x-idle-0c","baseline","0x0C","0x4C","10 00 00 00 00 00 C0 00","Enhanced","0","Transmission successful","False","False","","","","0","","False","","skipped","8"
"model-x-up-0c","baseline","0x0C","0x4C","11 04 00 00 00 00 C0 01","Enhanced","0","Transmission successful","True","True","0x0C","0x4C","11 04 00 00 00 00 C0 01","8","enhanced","True","0xDC","ok","6"
"model-x-down-0c","baseline","0x0C","0x4C","0F 04 00 00 00 00 C0 02","Enhanced","0","Transmission successful","True","True","0x0C","0x4C","0F 04 00 00 00 00 C0 02","8","enhanced","True","0xDD","ok","8"
"model-3y-candidate-1a","candidate","0x1A","0x1A","10 00 00 00 00 00 C0 00","Enhanced","0","Transmission successful","True","True","0x1A","0x1A","10 00 00 00 00 00 C0 00","8","enhanced","True","0x15","ok","9"
"model-3y-candidate-1b","candidate","0x1B","0x5B","10 00 00 00 00 00 C0 01","Enhanced","0","Transmission successful","True","True","0x1B","0x5B","10 00 00 00 00 00 C0 01","8","enhanced","True","0xD2","ok","8"
"diag-3c-enhanced","checksum","0x3C","0x3C","00 00 00 00 00 00 00 00","Enhanced","0","Transmission successful","True","True","0x3C","0x3C","00 00 00 00 00 00 00 00","8","enhanced","True","0xC3","ok","10"
"diag-3c-classic","checksum","0x3C","0x3C","00 00 00 00 00 00 00 00","Classic","0","Transmission successful","True","True","0x3C","0x3C","00 00 00 00 00 00 00 00","8","classic","True","0xFF","ok","9"
"sweep-00","id-sweep","0x00","0x80","A0 00","Enhanced","0","Transmission successful","True","True","0x00","0x80","A0 00","2","enhanced","True","0xDE","ok","11"
"sweep-01","id-sweep","0x01","0xC1","A1 01","Enhanced","0","Transmission successful","True","True","0x01","0xC1","A1 01","2","enhanced","True","0x9B","ok","9"
"sweep-0C","id-sweep","0x0C","0x4C","AC 0C","Enhanced","0","Transmission successful","True","True","0x0C","0x4C","AC 0C","2","enhanced","True","0xFA","ok","11"
"sweep-0D","id-sweep","0x0D","0x0D","AD 0D","Enhanced","0","Transmission successful","True","True","0x0D","0x0D","AD 0D","2","enhanced","True","0x38","ok","9"
"sweep-0E","id-sweep","0x0E","0x8E","AE 0E","Enhanced","0","Transmission successful","True","True","0x0E","0x8E","AE 0E","2","enhanced","True","0xB4","ok","12"
"sweep-0F","id-sweep","0x0F","0xCF","AF 0F","Enhanced","0","Transmission successful","True","True","0x0F","0xCF","AF 0F","2","enhanced","True","0x71","ok","9"
"sweep-10","id-sweep","0x10","0x50","A0 10","Enhanced","0","Transmission successful","True","True","0x10","0x50","A0 10","2","enhanced","True","0xFE","ok","11"
"sweep-16","id-sweep","0x16","0xD6","A6 16","Enhanced","0","Transmission successful","True","True","0x16","0xD6","A6 16","2","enhanced","True","0x6C","ok","12"
"sweep-17","id-sweep","0x17","0x97","A7 17","Enhanced","0","Transmission successful","True","True","0x17","0x97","A7 17","2","enhanced","True","0xA9","ok","12"
"sweep-1A","id-sweep","0x1A","0x1A","AA 1A","Enhanced","0","Transmission successful","True","True","0x1A","0x1A","AA 1A","2","enhanced","True","0x21","ok","9"
"sweep-1B","id-sweep","0x1B","0x5B","AB 1B","Enhanced","0","Transmission successful","True","True","0x1B","0x5B","AB 1B","2","enhanced","True","0xDD","ok","12"
"sweep-22","id-sweep","0x22","0xE2","01 02 22 55","Enhanced","0","Transmission successful","True","True","0x22","0xE2","01 02 22 55","4","enhanced","True","0xA2","ok","8"
"sweep-2A","id-sweep","0x2A","0x6A","01 02 2A 55","Enhanced","0","Transmission successful","True","True","0x2A","0x6A","01 02 2A 55","4","enhanced","True","0x13","ok","9"
"sweep-30","id-sweep","0x30","0xF0","10 00 00 00 00 00 C0 00","Enhanced","0","Transmission successful","True","True","0x30","0xF0","10 00 00 00 00 00 C0 00","8","enhanced","True","0x3E","ok","8"
"sweep-3C","id-sweep","0x3C","0x3C","10 00 00 00 00 00 C0 0C","Enhanced","0","Transmission successful","True","True","0x3C","0x3C","10 00 00 00 00 00 C0 0C","8","enhanced","True","0xE6","ok","9"
"sweep-3D","id-sweep","0x3D","0x7D","10 00 00 00 00 00 C0 0D","Enhanced","0","Transmission successful","True","True","0x3D","0x7D","10 00 00 00 00 00 C0 0D","8","enhanced","True","0xA4","ok","8"
