timestamp_ms,id_hex,id_dec,pid_hex,data_len,data_hex,error,baud,source
2707,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-04,0,19200,raw
3155,0x0C,12,0x4C,8,10-00-00-00-00-00-C0-06,0,19200,raw
3279,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-07,0,19200,raw
4171,0x0C,12,0x4C,8,10-00-00-00-00-00-C0-0B,0,19200,raw
5167,0x0C,12,0x4C,8,10-00-00-00-00-00-C0-0F,0,19200,raw
5680,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-01,0,19200,raw
6131,0x0C,12,0x4C,8,10-00-00-00-00-00-C0-03,0,19200,raw
6884,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-06,0,19200,raw
7134,0x0C,12,0x4C,8,10-00-00-00-00-00-C0-08,0,19200,raw
7733,0x0C,12,0x4C,8,11-04-00-00-00-00-C0-0A,0,19200,raw
8183,0x0C,12,0x4C,8,10-00-00-00-00-00-C0-0C,0,19200,raw
